strategy,date,code,name,industry,amount,buy,sell,ret,equity_after
C_limit_up_conservative,2025-08-18,sh.601606,长城军工,C33金属制品业,7798726028.25,66.29,66.0,-0.005874717151908402,3984075.429507671
C_limit_up_conservative,2025-08-18,sz.002837,英维克,C35专用设备制造业,7536688670.22,70.2,69.0,-0.018594017094017146,3959563.7309120633
C_limit_up_conservative,2025-08-19,sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,12733532495.95,48.91,46.5,-0.05077417705990589,3892549.2009276263
C_limit_up_conservative,2025-08-19,sh.600410,华胜天成,I65软件和信息技术服务业,9134776231.96,22.75,21.65,-0.0498516483516484,3826752.27468117
C_limit_up_conservative,2025-08-19,sz.002600,领益智造,C39计算机、通信和其他电子设备制造业,7297420462.51,12.24,12.66,0.03281372549019618,3870061.620456865
C_limit_up_conservative,2025-08-20,sz.000977,浪潮信息,C39计算机、通信和其他电子设备制造业,10300519339.54,65.95,67.37,0.020031463229719437,3895902.6194725083
C_limit_up_conservative,2025-08-20,sh.601609,金田股份,C32有色金属冶炼和压延加工业,5759500380.54,14.75,13.4,-0.09302542372881356,3775897.9121059687
C_limit_up_conservative,2025-08-20,sz.002281,光迅科技,C39计算机、通信和其他电子设备制造业,4856988229.15,60.5,61.0,0.006764462809917328,3784624.2080738586
C_limit_up_conservative,2025-08-21,sh.601929,吉视传媒,I63电信、广播电视和卫星传输服务,3728303951.34,3.96,3.96,-0.0015,3782731.8959698216
C_limit_up_conservative,2025-08-21,sz.000617,中油资本,J66货币金融服务,3178642245.55,10.87,10.75,-0.012539558417663242,3766912.7238544733
C_limit_up_conservative,2025-08-21,sz.300352,ST信源,I65软件和信息技术服务业,3012687128.87,7.57,7.38,-0.026599075297225994,3733356.88909372
C_limit_up_conservative,2025-08-22,sh.688041,海光信息,C39计算机、通信和其他电子设备制造业,13309982030.7,186.06,196.0,0.05192362678705803,3797973.3656844515
C_limit_up_conservative,2025-08-22,sh.603986,兆易创新,C39计算机、通信和其他电子设备制造业,11210984975.63,150.88,159.0,0.05231760339342523,3863080.12736769
C_limit_up_conservative,2025-08-22,sh.603019,中科曙光,C39计算机、通信和其他电子设备制造业,10500241550.96,82.83,91.11,0.09846378123868155,3985613.6060389066
C_limit_up_conservative,2025-08-25,sh.600410,华胜天成,I65软件和信息技术服务业,11919793714.33,23.25,24.0,0.030758064516129002,4026476.8595158756
C_limit_up_conservative,2025-08-25,sz.002600,领益智造,C39计算机、通信和其他电子设备制造业,8994489431.58,13.56,14.01,0.031685840707964597,4068572.6987973573
C_limit_up_conservative,2025-08-25,sz.300364,中文在线,R86新闻和出版业,6238835120.91,33.95,32.0,-0.058937407952872,3990272.1204501465
C_limit_up_conservative,2025-08-26,sh.600410,华胜天成,I65软件和信息技术服务业,9914740056.67,25.58,25.89,0.010618842845973532,4004396.144636723
C_limit_up_conservative,2025-08-26,sz.002600,领益智造,C39计算机、通信和其他电子设备制造业,8277110160.87,14.92,15.53,0.03938471849865938,4056781.392702382
C_limit_up_conservative,2025-08-26,sz.002131,利欧股份,L72商务服务业,7908436848.18,5.31,5.57,0.047464218455743945,4119913.1085766857
C_limit_up_conservative,2025-08-27,sz.002195,岩山科技,I64互联网和相关服务,8494842858.47,7.32,7.43,0.013527322404371546,4138490.23954259
C_limit_up_conservative,2025-08-27,sz.002212,天融信,I65软件和信息技术服务业,4550420576.81,12.38,12.67,0.02192487883683364,4168599.771450532
C_limit_up_conservative,2025-08-27,sh.601929,吉视传媒,I63电信、广播电视和卫星传输服务,4242272223.91,4.02,4.02,-0.0015,4166539.814896244
C_limit_up_conservative,2025-08-28,sz.002195,岩山科技,I64互联网和相关服务,12713432037.04,8.05,8.3,0.02955590062111796,4207588.427130579
