strategy,date,code,name,industry,vol_ratio,buy,sell,ret,equity_after
A_daily_vol_proxy_3_8,2024-07-30,sz.300972,万辰集团,F52零售业,3.679438036647728,19.31,18.99,-0.018071724495080266,570300.9381124125
A_daily_vol_proxy_3_8,2024-08-01,sz.300649,杭州园林,M74专业技术服务业,3.9972613076731043,10.5,10.09,-0.04054761904761911,547176.5929313306
A_daily_vol_proxy_3_8,2024-08-07,sz.000812,陕西金叶,C23印刷和记录媒介复制业,5.006635022560218,3.99,3.9,-0.024056390977443665,534013.4988780689
A_daily_vol_proxy_3_8,2024-08-12,sz.003027,同兴科技,N77生态保护和环境治理业,5.409513258065793,12.85,12.3,-0.04430155642023342,526127.6224948312
A_daily_vol_proxy_3_8,2024-08-12,sz.300614,百川畅银,N77生态保护和环境治理业,4.32792173889335,9.5,8.88,-0.0667631578947368,514243.4799803254
A_daily_vol_proxy_3_8,2024-08-12,sh.600292,电投水电,N77生态保护和环境治理业,3.67455873952798,5.09,4.9,-0.038828094302553906,507331.9044825673
A_daily_vol_proxy_3_8,2024-08-14,sz.002003,伟星股份,C18纺织服装、服饰业,4.142489208331829,12.88,12.4,-0.03876708074534169,487664.1275768036
A_daily_vol_proxy_3_8,2024-08-15,sz.002020,京新药业,C27医药制造业,4.267585382532188,11.1,11.67,0.04985135135135127,511974.843342085
A_daily_vol_proxy_3_8,2024-08-16,sz.002155,湖南黄金,B09有色金属矿采选业,3.0956724137423377,16.49,16.13,-0.023331412977562083,500029.74683794816
A_daily_vol_proxy_3_8,2024-08-21,sh.601801,皖新传媒,R86新闻和出版业,5.125212356785987,7.2,6.71,-0.06955555555555554,488436.46455940907
A_daily_vol_proxy_3_8,2024-08-21,sh.600880,博瑞传播,R86新闻和出版业,4.91365775917157,3.78,3.78,-0.0015,488186.4496859901
A_daily_vol_proxy_3_8,2024-08-21,sz.300788,中信出版,R86新闻和出版业,3.300780704014824,31.6,28.0,-0.11542405063291145,468947.9634136617
A_daily_vol_proxy_3_8,2024-08-22,sz.300106,西部牧业,C14食品制造业,3.0317854328280043,6.12,5.73,-0.06522549019607843,438360.60262355296
A_daily_vol_proxy_3_8,2024-08-26,sz.000779,甘咨询,M74专业技术服务业,5.859414592339016,6.45,7.0,0.08377131782945729,475082.64798984304
A_daily_vol_proxy_3_8,2024-08-27,sh.600968,海油发展,B11开采专业及辅助性活动,3.901041536717584,3.94,4.02,0.01880456852791862,479549.5100951181
A_daily_vol_proxy_3_8,2024-08-27,sz.301136,招标股份,M74专业技术服务业,3.219724836676305,12.66,13.27,0.046683254344391634,490638.7121404765
A_daily_vol_proxy_3_8,2024-08-28,sh.600827,百联股份,F52零售业,4.288588259552703,7.86,7.2,-0.08546946564885499,448704.0835871876
A_daily_vol_proxy_3_8,2024-08-29,sz.002120,韵达股份,G60邮政业,3.9776278257125726,6.65,7.05,0.05865037593984962,475020.74677532184
A_daily_vol_proxy_3_8,2024-08-30,sh.601601,中国太保,J68保险业,3.4228543985807756,28.7,29.65,0.03160104529616731,490031.898910788
A_daily_vol_proxy_3_8,2024-09-02,sz.000504,南华生物,M75科技推广和应用服务业,3.063178898776852,7.31,7.62,0.04090766073871427,510077.95758257847
A_daily_vol_proxy_3_8,2024-09-03,sz.002191,劲嘉股份,C23印刷和记录媒介复制业,3.816805426937611,3.59,3.45,-0.04049721448467963,499749.589356514
A_daily_vol_proxy_3_8,2024-09-03,sz.301223,中荣股份,C23印刷和记录媒介复制业,3.7456961104449746,14.81,14.22,-0.04133794733288315,489206.8014834074
A_daily_vol_proxy_3_8,2024-09-04,sh.600382,广东明珠,B08黑色金属矿采选业,6.048213677718325,3.52,3.48,-0.012863636363636353,482913.8230825072
A_daily_vol_proxy_3_8,2024-09-06,sh.601162,天风证券,J67资本市场服务,4.503672099201336,2.5,2.55,0.018500000000000016,485891.7916581826
A_daily_vol_proxy_3_8,2024-09-06,sh.601995,中金公司,J67资本市场服务,3.4462132607667533,29.28,27.8,-0.052046448087431696,477513.8085835937
A_daily_vol_proxy_3_8,2024-09-06,sh.601066,中信建投,J67资本市场服务,3.1339359907381557,19.58,19.0,-0.03112206332992845,472504.0503886365
A_daily_vol_proxy_3_8,2024-09-09,sz.002172,澳洋健康,Q84卫生,4.960622115741198,2.43,2.62,0.07668930041152261,508740.0554545518
